task_success,mean_time,rejection_rate,corrective_per_mission,false_activation_rate,method,k,tau
0.941,17.43145589798087,0.24764897122035304,0.49766666666666665,0.010474090407938258,mae,1,0.9
0.917,18.50563431479462,0.30969944522343473,0.421,0.008269018743109152,mae,1,0.93
0.8706666666666667,19.36332312404288,0.35579620583446137,0.3556666666666667,0.007166482910694598,mae,1,0.95
0.7883333333333333,21.18816067653277,0.43561048634438443,0.2843333333333333,0.005145167217934583,mae,1,0.97
0.5383333333333333,24.57956656346749,0.5644813841065219,0.16,0.0031238515251745683,mae,1,0.99
0.977,13.274309109518935,0.0,0.417,0.030248397435897436,mae,3,0.0
0.977,13.274309109518935,0.0,0.417,0.029847756410256412,mae,3,0.3
0.986,13.352265043948615,0.009371784532384105,0.4086666666666667,0.024839743589743588,mae,3,0.5
0.9916666666666667,13.474957983193278,0.040704689888182766,0.31933333333333336,0.019631410256410256,mae,3,0.6
0.996,13.79350736278447,0.07936385789406182,0.253,0.013822115384615384,mae,3,0.7
0.9873333333333333,14.452059419311276,0.13876939436415486,0.18566666666666667,0.010216346153846154,mae,3,0.8
0.987,15.205336035123269,0.18793736181076337,0.16733333333333333,0.009014423076923076,mae,3,0.85
0.9673333333333334,16.4631288766368,0.2626678716294319,0.12733333333333333,0.006810897435897436,mae,3,0.9
0.892,17.787742899850524,0.3398153525724471,0.09433333333333334,0.005208333333333333,mae,3,0.93
0.8253333333333334,19.003634894991922,0.40029294428276835,0.06833333333333333,0.004407051282051282,mae,3,0.95
0.7136666666666667,20.89350770667912,0.4771834673648775,0.069,0.003405448717948718,mae,3,0.97
0.38033333333333336,25.768624014022787,0.6367181526227252,0.053,0.0016025641025641025,mae,3,0.99
0.9266666666666666,14.777697841726619,0.0,0.8906666666666667,0.04299889746416759,supMAE,1,0.0
0.9266666666666666,14.777697841726619,0.0,0.8906666666666667,0.042080117603822124,supMAE,1,0.3
0.9296666666666666,14.679096450340625,0.01780407031050978,0.7933333333333333,0.036751194413818446,supMAE,1,0.5
0.9503333333333334,14.815854086285514,0.045043321398310875,0.728,0.03234105108416024,supMAE,1,0.6
0.9556666666666667,15.00313916986397,0.07606004740584672,0.6536666666666666,0.02701212789415656,supMAE,1,0.7
0.9763333333333334,15.264595425059747,0.11722303696154707,0.549,0.02296949650863653,supMAE,1,0.8
0.9966666666666667,15.517391304347827,0.1456509326227636,0.49033333333333334,0.0213156927600147,supMAE,1,0.85
0.9983333333333333,16.08414023372287,0.1857336956521739,0.452,0.019294377067254686,supMAE,1,0.9
0.9956666666666667,16.576498158687645,0.22333773286885777,0.38366666666666666,0.017640573318632856,supMAE,1,0.93
0.991,17.439623276152034,0.27084012385919165,0.343,0.01470047776552738,supMAE,1,0.95
0.974,18.654346338124572,0.33397992429235956,0.263,0.011760382212421904,supMAE,1,0.97
0.8286666666666667,21.736524537409494,0.4626855589144276,0.18366666666666667,0.006431459022418228,supMAE,1,0.99
0.9896666666666667,12.939710340181879,0.0,0.312,0.019230769230769232,supMAE,3,0.0
0.9896666666666667,12.939710340181879,0.0,0.312,0.019230769230769232,supMAE,3,0.3
0.9893333333333333,12.970687331536388,0.0019527980806784578,0.315,0.016426282051282052,supMAE,3,0.5
0.999,12.943943943943944,0.02002288329519451,0.23266666666666666,0.011618589743589744,supMAE,3,0.6
0.9966666666666667,13.093645484949834,0.04339486933589067,0.18266666666666667,0.008613782051282052,supMAE,3,0.7
0.9946666666666667,13.384718498659517,0.07487486454409412,0.13766666666666666,0.006009615384615385,supMAE,3,0.8
0.996,13.709839357429718,0.09923204336696281,0.12933333333333333,0.005608974358974359,supMAE,3,0.85
0.9993333333333333,14.259506337558372,0.13960495480415133,0.10533333333333333,0.005208333333333333,supMAE,3,0.9
