test_subject,oov_label,method,k,calibration_mode,base_train_samples,base_val_samples,calib_samples,eval_samples,eval_known_samples,eval_oov_samples,final_acc_all,final_macro_f1_all,final_acc_known,final_macro_f1_known,final_acc_oov,final_recall_oov,best_diag_acc_all,best_diag_epoch,base_ckpt,calibration_ckpt,pretrained_ckpt,oov_pred_counts_json
sub9,airkick,scratch,1,head_only,1628,407,22,514,490,24,83.268482,0.833447,84.897959,0.858506,50.000000,50.000000,83.268482,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_scratch_k1_head_only_last.pth,,"{""airkick"": 12, ""buttkicks"": 1, ""jump"": 2, ""sidekick"": 8, ""walk"": 1}"
sub9,airkick,scratch,3,head_only,1628,407,66,470,448,22,88.936170,0.899696,89.285714,0.903509,81.818182,81.818182,88.936170,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_scratch_k3_head_only_last.pth,,"{""airkick"": 18, ""hop"": 1, ""jump"": 2, ""sidekick"": 1}"
sub9,airkick,scratch,5,head_only,1628,407,110,426,406,20,88.028169,0.862147,90.147783,0.890831,45.000000,45.000000,88.028169,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_scratch_k5_head_only_last.pth,,"{""airkick"": 9, ""hop"": 1, ""jump"": 1, ""sidekick"": 9}"
sub9,airkick,scratch,10,head_only,1628,407,220,316,301,15,96.202532,0.954816,96.345515,0.955843,93.333333,93.333333,96.202532,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_scratch_k10_head_only_last.pth,,"{""airkick"": 14, ""hop"": 1}"
sub9,airkick,supLP120,1,head_only,1628,407,22,514,490,24,82.101167,0.809456,83.469388,0.831114,54.166667,54.166667,82.101167,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supLP120_k1_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airkick"": 13, ""jump"": 8, ""sidekick"": 1, ""walk"": 2}"
sub9,airkick,supLP120,3,head_only,1628,407,66,470,448,22,90.425532,0.900887,91.071429,0.905996,77.272727,77.272727,90.425532,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supLP120_k3_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airkick"": 17, ""jump"": 3, ""sidekick"": 1, ""walk"": 1}"
sub9,airkick,supLP120,5,head_only,1628,407,110,426,406,20,91.784038,0.907728,92.364532,0.911772,80.000000,80.000000,91.784038,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supLP120_k5_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airkick"": 16, ""jump"": 4}"
sub9,airkick,supLP120,10,head_only,1628,407,220,316,301,15,95.886076,0.956785,96.677741,0.963604,80.000000,80.000000,95.886076,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supLP120_k10_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airkick"": 12, ""sidekick"": 1, ""walk"": 2}"
sub9,airkick,supMAE,1,head_only,1628,407,22,514,490,24,80.544747,0.788212,82.040816,0.810115,50.000000,50.000000,80.544747,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supMAE_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supMAE_k1_head_only_last.pth,trained_models/SUPMAE/supmae_best.pth,"{""airkick"": 12, ""hop"": 1, ""sidekick"": 10, ""walk"": 1}"
sub9,airkick,supMAE,3,head_only,1628,407,66,470,448,22,88.936170,0.886957,88.839286,0.885684,90.909091,90.909091,88.936170,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supMAE_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub9_oov-airkick_supMAE_k3_head_only_last.pth,trained_models/SUPMAE/supmae_best.pth,"{""airkick"": 20, ""hop"": 1, ""jump"": 1}"
