test_subject,oov_label,method,num_known_classes,base_train_samples,base_val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt
sub8,jump,supLP120,21,1627,407,12,98.771499,97.788698,0.975186,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-jump_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,jump,supMAE,21,1627,407,37,99.508600,99.262899,0.991802,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-jump_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,jump,mae,21,1627,407,18,99.017199,98.525799,0.983850,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-jump_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,jump,supcon,21,1627,407,22,99.017199,98.525799,0.988406,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-jump_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,pickup,scratch,21,1620,405,33,99.012346,98.765432,0.987367,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pickup_scratch_base21_bestVal.pth,
sub8,pickup,supLP120,21,1620,405,13,98.518519,98.271605,0.982841,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pickup_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub8,pickup,supMAE,21,1620,405,22,100.000000,99.753086,0.997114,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pickup_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub8,pickup,mae,21,1620,405,26,99.259259,98.765432,0.988265,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pickup_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub8,pickup,supcon,21,1620,405,34,99.259259,99.259259,0.991397,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pickup_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub8,pushchair,scratch,21,1615,404,17,99.257426,99.257426,0.992929,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub8_oov-pushchair_scratch_base21_bestVal.pth,
