method,k,tau,false_activation,hard_success,mean_cost,rejection_rate,corrective_per_mission
supMAE,3,0.6,0.011618589743589744,0.9993333333333333,12.964666666666666,0.020274867328888283,0.23433333333333334
supLP120,3,0.6,0.010416666666666666,0.965,13.342666666666666,0.0184851954850319,0.13666666666666666
supcon,3,0.6,0.010216346153846154,0.9756666666666667,13.388,0.02592131608853293,0.194
scratch,3,0.7,0.014022435897435898,0.998,14.694333333333333,0.07588048054215012,0.5563333333333333
mae,3,0.7,0.013822115384615384,0.996,13.874333333333333,0.07951610015601422,0.256
supMAE,3,0.7,0.008613782051282052,0.9966666666666667,13.157666666666668,0.04329107868930878,0.18266666666666667
supLP120,3,0.7,0.00641025641025641,0.9676666666666667,13.482666666666667,0.03622199020159023,0.12833333333333333
supcon,3,0.7,0.007411858974358974,0.986,13.334666666666667,0.04135488509573137,0.179
scratch,3,0.8,0.010216346153846154,0.997,14.963666666666667,0.12534020217729394,0.39766666666666667
mae,3,0.8,0.010216346153846154,0.987,14.505666666666666,0.1387698087760705,0.18833333333333332
supMAE,3,0.8,0.006009615384615385,0.9946666666666667,13.499333333333333,0.07533454909716693,0.13833333333333334
supLP120,3,0.8,0.004206730769230769,0.967,13.67,0.0515333544103699,0.11933333333333333
supcon,3,0.8,0.005608974358974359,0.9913333333333333,13.462666666666667,0.06580859456093004,0.148
scratch,3,0.85,0.008814102564102564,0.9953333333333333,15.220333333333333,0.16127376647614605,0.2906666666666667
mae,3,0.85,0.009014423076923076,0.987,15.125666666666667,0.18793736181076337,0.16733333333333333
supMAE,3,0.85,0.005608974358974359,0.996,13.793666666666667,0.09954977488744372,0.129
supLP120,3,0.85,0.0030048076923076925,0.9776666666666667,13.602333333333334,0.06880496637351267,0.08966666666666667
supcon,3,0.85,0.005208333333333333,0.9886666666666667,13.614333333333333,0.08142175499476921,0.108
scratch,3,0.9,0.008012820512820512,0.9973333333333333,15.987,0.2141232559156716,0.24833333333333332
mae,3,0.9,0.006810897435897436,0.9673333333333334,16.242333333333335,0.2626678716294319,0.12733333333333333
supMAE,3,0.9,0.005208333333333333,0.9993333333333333,14.255333333333333,0.13960495480415133,0.10533333333333333
supLP120,3,0.9,0.002003205128205128,0.9796666666666667,13.879333333333333,0.09129918974177752,0.089
supcon,3,0.9,0.0038060897435897435,0.9936666666666667,13.866,0.10908730944367452,0.09
scratch,3,0.93,0.006610576923076923,0.988,16.794333333333334,0.26476045188422526,0.20833333333333334
mae,3,0.93,0.005208333333333333,0.892,16.927333333333333,0.3398153525724471,0.09433333333333334
supMAE,3,0.93,0.004407051282051282,0.9996666666666667,15.078,0.18644604186446043,0.11066666666666666
supLP120,3,0.93,0.002003205128205128,0.983,14.138,0.11641263529931523,0.07233333333333333
supcon,3,0.93,0.003405448717948718,0.9923333333333333,14.200333333333333,0.13300243355901983,0.07533333333333334
scratch,3,0.95,0.006009615384615385,0.9533333333333334,17.725,0.326128220027116,0.17166666666666666
mae,3,0.95,0.004407051282051282,0.8253333333333334,17.500666666666667,0.40029294428276835,0.06833333333333333
supMAE,3,0.95,0.004006410256410256,0.9926666666666667,15.945,0.23935492095869454,0.08566666666666667
supLP120,3,0.95,0.002003205128205128,0.9846666666666667,14.476666666666667,0.14110151290984585,0.06933333333333333
supcon,3,0.95,0.002403846153846154,0.9916666666666667,14.644,0.16655829075708314,0.07466666666666667
scratch,3,0.97,0.003605769230769231,0.893,18.974,0.40907957540785067,0.086
mae,3,0.97,0.003405448717948718,0.7136666666666667,18.030333333333335,0.4771834673648775,0.069
supMAE,3,0.97,0.0028044871794871795,0.967,17.49,0.3184383545703148,0.101
supLP120,3,0.97,0.0018028846153846155,0.996,14.994666666666667,0.1902742692168892,0.072
supcon,3,0.97,0.002203525641025641,0.979,15.385,0.21649166831759448,0.06066666666666667
scratch,3,0.99,0.0026041666666666665,0.698,19.578333333333333,0.5143483665999034,0.091
mae,3,0.99,0.0016025641025641025,0.38033333333333336,17.596333333333334,0.6367181526227252,0.053
supMAE,3,0.99,0.0016025641025641025,0.7456666666666667,19.680333333333333,0.49920796170667037,0.107
supLP120,3,0.99,0.0018028846153846155,0.9526666666666667,17.06,0.3136015438845237,0.044333333333333336
supcon,3,0.99,0.0016025641025641025,0.8833333333333333,17.273,0.35658143662356406,0.06066666666666667
