vocab,method,k,tau,hard_success,mean_cost,rejection_rate,corrective_per_mission
10,supcon,3,0.0,0.82,17.559,0.0,0.573
10,scratch,3,0.9,0.915,17.893,0.23638463018795305,0.368
10,mae,3,0.9,0.817,19.232,0.3043583535108959,0.164
10,supMAE,3,0.9,0.903,17.522,0.24437693898655635,0.33
10,supLP120,3,0.9,0.902,17.088,0.1793429805911803,0.209
10,supcon,3,0.9,0.909,16.364,0.15539253720815405,0.149
11,scratch,1,0.0,0.448,28.979,0.0,0.733
11,mae,1,0.0,0.348,34.085,0.0,1.175
11,supMAE,1,0.0,0.48,27.495,0.0,0.805
11,supLP120,1,0.0,0.512,27.576,0.0,1.172
11,supcon,1,0.0,0.453,28.636,0.0,0.832
11,scratch,1,0.9,0.657,23.755,0.3202153110047847,0.285
11,mae,1,0.9,0.658,25.76,0.3694200739391933,0.519
11,supMAE,1,0.9,0.74,22.304,0.2640979204396428,0.437
11,supLP120,1,0.9,0.65,25.025,0.2386566403262809,0.471
11,supcon,1,0.9,0.646,24.8,0.2232491538661807,0.492
11,scratch,3,0.0,0.531,25.026,0.0,0.502
11,mae,3,0.0,0.566,24.597,0.0,0.679
11,supMAE,3,0.0,0.647,22.099,0.0,0.573
11,supLP120,3,0.0,0.741,19.443,0.0,0.581
11,supcon,3,0.0,0.658,21.812,0.0,0.564
11,scratch,3,0.9,0.731,22.024,0.26689569019362896,0.278
11,mae,3,0.9,0.77,22.206,0.31246359930110656,0.272
11,supMAE,3,0.9,0.768,20.85,0.2169471547377382,0.213
11,supLP120,3,0.9,0.837,18.653,0.17219000276166804,0.283
11,supcon,3,0.9,0.886,17.5,0.1722133813049194,0.249
12,scratch,1,0.0,0.624,23.249,0.0,0.923
12,mae,1,0.0,0.663,23.788,0.0,1.356
12,supMAE,1,0.0,0.739,21.322,0.0,1.174
12,supLP120,1,0.0,0.787,21.534,0.0,1.678
12,supcon,1,0.0,0.816,19.434,0.0,1.178
12,scratch,1,0.9,0.939,17.92,0.23183746946123185,0.442
12,mae,1,0.9,0.841,21.574,0.2636099610702589,0.777
12,supMAE,1,0.9,0.911,19.009,0.1965829145728643,0.768
12,supLP120,1,0.9,0.927,18.892,0.22778895450710623,0.801
12,supcon,1,0.9,0.941,17.631,0.16563348889043672,0.718
12,scratch,3,0.0,0.693,20.357,0.0,0.499
12,mae,3,0.0,0.851,18.196,0.0,1.012
12,supMAE,3,0.0,0.898,16.344,0.0,0.728
12,supLP120,3,0.0,0.92,16.371,0.0,0.897
12,supcon,3,0.0,0.922,15.899,0.0,0.773
12,scratch,3,0.9,0.85,18.419,0.20106809078771695,0.153
12,mae,3,0.9,0.878,19.064,0.29019773840478924,0.369
12,supMAE,3,0.9,0.951,15.915,0.1736729481604197,0.176
12,supLP120,3,0.9,0.941,16.742,0.17061150829457902,0.465
12,supcon,3,0.9,0.954,15.969,0.13439734238463205,0.414
13,scratch,1,0.0,0.494,29.275,0.0,1.625
13,mae,1,0.0,0.493,31.179,0.0,2.113
13,supMAE,1,0.0,0.583,26.87,0.0,1.75
13,supLP120,1,0.0,0.357,34.217,0.0,1.719
13,supcon,1,0.0,0.526,28.139,0.0,1.633
13,scratch,1,0.9,0.789,22.978,0.2794854761760976,0.873
13,mae,1,0.9,0.609,28.209,0.3834679590737749,0.813
13,supMAE,1,0.9,0.892,21.22,0.26753630322421856,1.036
13,supLP120,1,0.9,0.676,26.231,0.28040703275529866,0.941
13,supcon,1,0.9,0.683,25.719,0.28362608277189605,0.805
13,scratch,3,0.0,0.753,20.186,0.0,0.922
13,mae,3,0.0,0.701,22.367,0.0,1.189
13,supMAE,3,0.0,0.831,18.263,0.0,0.921
13,supLP120,3,0.0,0.702,20.429,0.0,0.623
13,supcon,3,0.0,0.769,19.418,0.0,0.806
13,scratch,3,0.9,0.951,18.391,0.2542953187250996,0.589
13,mae,3,0.9,0.882,20.902,0.3464325529542921,0.454
13,supMAE,3,0.9,0.943,18.437,0.2568231271370842,0.444
13,supLP120,3,0.9,0.932,17.509,0.21421080230728892,0.291
13,supcon,3,0.9,0.917,17.649,0.2193628249397355,0.22
14,scratch,1,0.0,0.32,35.692,0.0,1.224
14,mae,1,0.0,0.375,34.384,0.0,1.548
14,supMAE,1,0.0,0.443,31.385,0.0,1.135
14,supLP120,1,0.0,0.517,29.457,0.0,1.759
14,supcon,1,0.0,0.493,28.821,0.0,1.307
14,scratch,1,0.9,0.686,25.215,0.3330507516672318,0.567
14,mae,1,0.9,0.714,26.394,0.3511604992336326,0.762
14,supMAE,1,0.9,0.67,25.345,0.2552382140184585,0.623
14,supLP120,1,0.9,0.688,25.766,0.25529265255292655,0.842
14,supcon,1,0.9,0.8,22.37,0.26186952768528793,0.644
14,scratch,3,0.0,0.51,26.027,0.0,0.489
14,mae,3,0.0,0.823,18.148,0.0,0.816
14,supMAE,3,0.0,0.798,17.981,0.0,0.487
14,supLP120,3,0.0,0.858,16.614,0.0,0.518
14,supcon,3,0.0,0.818,17.215,0.0,0.445
14,scratch,3,0.9,0.789,21.655,0.2895706980616007,0.239
14,mae,3,0.9,0.895,20.326,0.35111378030137586,0.23
14,supMAE,3,0.9,0.929,17.906,0.2420253164556962,0.262
14,supLP120,3,0.9,0.955,16.062,0.19954587952450914,0.076
14,supcon,3,0.9,0.931,16.468,0.1829909221213569,0.159
15,scratch,1,0.0,0.415,31.785,0.0,1.255
15,mae,1,0.0,0.34,36.197,0.0,1.499
15,supMAE,1,0.0,0.437,30.835,0.0,1.245
15,supLP120,1,0.0,0.425,31.177,0.0,1.319
15,supcon,1,0.0,0.483,29.289,0.0,1.383
15,scratch,1,0.9,0.727,24.097,0.3232607571666571,0.55
15,mae,1,0.9,0.606,29.423,0.39219601705434726,1.098
15,supMAE,1,0.9,0.729,24.572,0.2937388193202147,0.694
15,supLP120,1,0.9,0.762,23.032,0.2622991347342398,0.624
15,supcon,1,0.9,0.794,22.08,0.2431797995178277,0.646
15,scratch,3,0.0,0.609,23.844,0.0,0.808
15,mae,3,0.0,0.685,21.717,0.0,0.779
15,supMAE,3,0.0,0.712,20.506,0.0,0.642
15,supLP120,3,0.0,0.772,19.347,0.0,0.729
15,supcon,3,0.0,0.756,19.739,0.0,0.753
15,scratch,3,0.9,0.828,20.866,0.27611894730414605,0.443
15,mae,3,0.9,0.809,21.021,0.38215469613259667,0.287
